"","X","gradu","skilled","income","net_in_ra","net_in","X20_net_in","X20_net_in_ra","연도","V10","Network"
"213","포천시2015",0.1758084,0.0661,39724625,-0.040369349,-6265,-4626,-0.125744108,2015,0.1710292388,-0.50228652135228
"214","여주시2015",0.1832531,0.0742119,30514496,0.013149244,1460,-1831,-0.025285515,2015,0.182027755,-0.369709348011868
"215","연천군2015",0.157107,0.0564774,28722100,-0.023291416,-1065,-500,-0.047646274,2015,0.1510041708,-0.743670619271736
"216","가평군2015",0.2069345,0.0713093,24097810,0.03946265,2447,-477,-0.037734356,2015,0.1967183666,-0.192627301201784
"217","양평군2015",0.2543246,0.1080521,14824107,0.121736401,13186,742,0.033618014,2015,0.2562003269,0.524373975872354
"218","춘천시2015",0.3556445,0.1216145,23238474,0.01711889,4759,960,0.013539911,2015,0.337422113,1.50342920650406
"219","원주시2015",0.3090845,0.1152489,24031151,0.059193081,19711,5696,0.065647078,2015,0.3000037138,1.05238421946671
"220","강릉시2015",0.3134496,0.0939885,22093428,-0.001589299,-341,-4257,-0.084164533,2015,0.2880587367,0.908398315301383
"221","동해시2015",0.2380441,0.0815754,29802876,-0.038266148,-3593,-2710,-0.122966627,2015,0.2259709865,0.159986595856756
"222","태백시2015",0.1933794,0.0780802,19202101,-0.079387802,-3771,-2371,-0.226781444,2015,0.1919219372,-0.250443923045633
"223","속초시2015",0.2243744,0.0871397,17093314,-0.002378281,-195,-666,-0.03528103,2015,0.2202404687,0.0909103824943646
"224","삼척시2015",0.2754721,0.0659595,37673033,-0.053925098,-3820,-5277,-0.311171389,2015,0.2413921412,0.345874679539462
"225","홍천군2015",0.1744935,0.0579755,29995408,0.001165833,82,-2102,-0.142243275,2015,0.164355583,-0.582731410983014
"226","횡성군2015",0.1659262,0.0543214,33183105,0.056141731,2570,-1311,-0.155001182,2015,0.1557150532,-0.686885189203352
"227","영월군2015",0.1580846,0.0655554,28686891,0.00738512,297,-1595,-0.218792867,2015,0.15811348,-0.657974321607604
"228","평창군2015",0.1752751,0.0647316,32340046,-0.010574713,-460,-1413,-0.169811321,2015,0.1696847369,-0.518493276719228
"229","정선군2015",0.1753846,0.0633538,30937342,-0.026864301,-1053,-1522,-0.191062014,2015,0.1687880488,-0.529302041420232
"230","철원군2015",0.1858887,0.0606487,31888399,-0.03797209,-1853,-662,-0.053378487,2015,0.1743019418,-0.462837044256207
"231","화천군2015",0.2220846,0.0584457,41995004,-0.086935603,-2349,-1838,-0.212154441,2015,0.1983349221,-0.173141185543938
"232","양구군2015",0.2074086,0.0653235,31901573,-0.050894599,-1226,-729,-0.107553851,2015,0.1928215947,-0.2395993649111
"233","인제군2015",0.2325599,0.0797963,37912254,-0.032566531,-1083,-122,-0.013612273,2015,0.2208358334,0.0980869659168325
"234","고성군2015",0.2402772,0.050726,29960845,-0.072055888,-2166,-2435,-0.332763922,2015,0.2057392624,-0.0838885545913646
