연도,사업,경제성 평가 비중,정책성 평가 비중,지역균형발전 비중,지역낙후도 평가 비중,B/C,AHP,시기
2011,경북·대구권 맑은 물 공급사업,0.470,0.308,0.222,0.148,0.860,0.397,개정1
2011,국가대표 종합훈련장 (2단계) 조성사업,0.468,0.352,0.180,0.120,1.490,0.666,개정1
2011,제3차 국도·국지도 5개년 계획안 예비타당성조사 대상사업1,0.458,0.292,0.251,0.167,0.310,0.405,개정1
2011,제3차 국도·국지도 5개년 계획안 예비타당성조사 대상사업2,0.449,0.304,0.248,0.165,0.440,0.437,개정1
2011,제3차 국도·국지도 5개년 계획안 예비타당성조사 대상사업3,0.457,0.297,0.246,0.164,0.330,0.398,개정1
2011,제3차 국도·국지도 5개년 계획안 예비타당성조사 대상사업4,0.459,0.300,0.241,0.161,0.630,0.373,개정1
2011,제3차 국도·국지도 5개년 계획안 예비타당성조사 대상사업5,0.460,0.302,0.238,0.159,0.280,0.313,개정1
2011,제3차 국도·국지도 5개년 계획안 예비타당성조사 대상사업6,0.455,0.299,0.246,0.164,0.120,0.392,개정1
2011,제3차 국도·국지도 5개년 계획안 예비타당성조사 대상사업7,0.459,0.300,0.241,0.161,0.300,0.393,개정1
2011,제3차 국도·국지도 5개년 계획안 예비타당성조사 대상사업8,0.459,0.308,0.233,0.155,0.860,0.512,개정1
2011,제3차 국도·국지도 5개년 계획안 예비타당성조사 대상사업9,0.458,0.300,0.224,0.241,0.920,0.504,개정1
2011,제3차 국도·국지도 5개년 계획안 예비타당성조사 대상사업10,0.459,0.300,0.241,0.161,0.670,0.327,개정1
2011,제3차 국도·국지도 5개년 계획안 예비타당성조사 대상사업11,0.454,0.301,0.246,0.164,0.650,0.408,개정1
2011,제3차 국도·국지도 5개년 계획안 예비타당성조사 대상사업12,0.479,0.258,0.263,0.176,0.700,0.483,개정1
2011,제3차 국도·국지도 5개년 계획안 예비타당성조사 대상사업13,0.483,0.258,0.258,0.172,1.010,0.594,개정1
2011,제3차 국도·국지도 5개년 계획안 예비타당성조사 대상사업14,0.467,0.282,0.251,0.167,0.900,0.505,개정1
2011,제3차 국도·국지도 5개년 계획안 예비타당성조사 대상사업15,0.490,0.260,0.250,0.167,0.720,0.404,개정1
2011,제3차 국도·국지도 5개년 계획안 예비타당성조사 대상사업16,0.477,0.261,0.262,0.175,0.620,0.461,개정1
2011,제3차 국도·국지도 5개년 계획안 예비타당성조사 대상사업17,0.459,0.280,0.261,0.174,0.770,0.490,개정1
2011,제3차 국도·국지도 5개년 계획안 예비타당성조사 대상사업18,0.457,0.283,0.260,0.173,0.460,0.460,개정1
2011,제3차 국도·국지도 5개년 계획안 예비타당성조사 대상사업19,0.460,0.280,0.260,0.173,0.350,0.426,개정1
2011,제3차 국도·국지도 5개년 계획안 예비타당성조사 대상사업20,0.457,0.278,0.265,0.176,0.260,0.450,개정1
2011,제3차 국도·국지도 5개년 계획안 예비타당성조사 대상사업21,0.464,0.303,0.233,0.156,0.480,0.424,개정1
2011,제3차 국도·국지도 5개년 계획안 예비타당성조사 대상사업22,0.460,0.272,0.268,0.179,0.150,0.440,개정1
2011,제3차 국도·국지도 5개년 계획안 예비타당성조사 대상사업23,0.487,0.292,0.221,0.147,1.070,0.587,개정1
2011,제3차 국도·국지도 5개년 계획안 예비타당성조사 대상사업24,0.466,0.272,0.263,0.175,0.250,0.429,개정1
2011,제3차 국도·국지도 5개년 계획안 예비타당성조사 대상사업25,0.469,0.276,0.255,0.170,0.990,0.505,개정1
2011,제3차 국도·국지도 5개년 계획안 예비타당성조사 대상사업26,0.452,0.273,0.275,0.183,0.130,0.427,개정1
2011,제3차 국도·국지도 5개년 계획안 예비타당성조사 대상사업27,0.457,0.273,0.270,0.180,0.600,0.485,개정1
2011,제3차 국도·국지도 5개년 계획안 예비타당성조사 대상사업28,0.467,0.265,0.268,0.179,0.770,0.489,개정1
2011,제3차 국도·국지도 5개년 계획안 예비타당성조사 대상사업29,0.453,0.270,0.277,0.184,0.630,0.485,개정1
2011,제3차 국도·국지도 5개년 계획안 예비타당성조사 대상사업30,0.469,0.282,0.250,0.166,0.590,0.397,개정1
2011,제3차 국도·국지도 5개년 계획안 예비타당성조사 대상사업31,0.467,0.283,0.250,0.166,0.550,0.441,개정1
2011,제3차 국도·국지도 5개년 계획안 예비타당성조사 대상사업32,0.484,0.297,0.219,0.146,0.900,0.502,개정1
2011,제3차 국도·국지도 5개년 계획안 예비타당성조사 대상사업33,0.460,0.287,0.253,0.169,0.410,0.361,개정1
2011,제3차 국도·국지도 5개년 계획안 예비타당성조사 대상사업34,0.443,0.280,0.277,0.184,0.020,0.472,개정1
2011,제3차 국도·국지도 5개년 계획안 예비타당성조사 대상사업35,0.450,0.275,0.275,0.183,0.210,0.418,개정1
2011,제3차 국도·국지도 5개년 계획안 예비타당성조사 대상사업36,0.462,0.297,0.241,0.161,0.410,0.448,개정1
2011,제3차 국도·국지도 5개년 계획안 예비타당성조사 대상사업37,0.460,0.295,0.244,0.163,0.410,0.463,개정1
2011,제3차 국도·국지도 5개년 계획안 예비타당성조사 대상사업38,0.464,0.298,0.237,0.158,0.480,0.478,개정1
2011,제3차 국도·국지도 5개년 계획안 예비타당성조사 대상사업39,0.473,0.303,0.224,0.150,0.640,0.412,개정1
2011,제3차 국도·국지도 5개년 계획안 예비타당성조사 대상사업40,0.490,0.294,0.216,0.144,0.960,0.514,개정1
