,gradu2010,skilled2010,manu2010,service2010,enov2010,young2010,V7,V8
1,0.332751047,0.175110526,0.111817624,0.368260851,0.121997832,0.9,1.104794158,1.104794158
2,0.268413389,0.113665411,0.186724232,0.355026145,0.062478304,0.89,1.062969089,1.062969089
3,0.265719634,0.124137972,0.210515745,0.350037514,0.062596018,0.9,1.081517892,1.081517892
4,0.209058761,0.121657361,0.222938171,0.325370204,0.066443159,0.91,1.044313368,1.044313368
5,0.323859007,0.145336252,0.150931605,0.373150089,0.071286878,0.91,1.112196807,1.112196807
6,0.318589502,0.164659032,0.121296733,0.379436142,0.108145213,0.91,1.107163196,1.107163196
7,0.206378474,0.109280438,0.350901572,0.292735732,0.050229529,0.93,1.104566887,1.104566887
8,0.344773816,0.178759467,0.210616568,0.352825621,0.096153177,0.93,1.176382997,1.176382997
9,0.411670453,0.189005923,0.139252555,0.363385144,0.10783363,0.91,1.178410825,1.178410825
10,0.241238292,0.124493197,0.136223978,0.375822202,0.07872873,0.9,1.03899524,1.03899524
11,0.369243672,0.178292919,0.176722149,0.342969336,0.109137916,0.92,1.164229687,1.164229687
12,0.275177386,0.141105185,0.221817862,0.331492768,0.081088757,0.93,1.11158947,1.11158947
13,0.316239404,0.164961104,0.175343513,0.326792731,0.101702403,0.92,1.114568275,1.114568275
14,0.207361622,0.097576525,0.295909063,0.279691879,0.045032194,0.9,1.044238027,1.044238027
15,0.156656017,0.092590902,0.191201609,0.361865259,0.050955254,0.87,0.973896903,0.973896903
16,0.228087157,0.12076369,0.317332593,0.296447342,0.060688326,0.94,1.113242818,1.113242818
17,0.397205821,0.177700445,0.114506704,0.373965229,0.108016922,0.91,1.15674783,1.15674783
18,0.565536512,0.241590829,0.077309953,0.349746831,0.159649302,0.91,1.263312384,1.263312384
19,0.298700716,0.147385721,0.129081984,0.358835108,0.093236417,0.92,1.08623717,1.08623717
20,0.277152494,0.138066353,0.144412217,0.353295181,0.081513291,0.91,1.06677331,1.06677331
21,0.26043797,0.13974957,0.381771733,0.271662545,0.054488825,0.94,1.163413631,1.163413631
22,0.203721875,0.112792222,0.352588453,0.268038578,0.047599602,0.94,1.0978885,1.0978885
23,0.374863236,0.183638213,0.222539506,0.328243351,0.104058273,0.92,1.187248415,1.187248415
24,0.384093838,0.179523338,0.174382383,0.32941122,0.108811646,0.92,1.166151956,1.166151956
25,0.25803311,0.121768334,0.131282982,0.334015416,0.079772913,0.9,1.025301252,1.025301252
26,0.496502644,0.213235459,0.16948592,0.362748447,0.112358089,0.91,1.259855321,1.259855321
27,0.256264809,0.123132752,0.222175499,0.313538553,0.074371694,0.89,1.058685065,1.058685065
28,0.194176266,0.108437564,0.300133808,0.265893555,0.045422013,0.9,1.034109147,1.034109147
29,0.262367339,0.105431205,0.281970565,0.292274095,0.040122202,0.88,1.068517747,1.068517747
30,0.279216174,0.131535028,0.207978535,0.312600618,0.066724042,0.9,1.072799737,1.072799737
31,0.294228549,0.156109472,0.30618985,0.273855606,0.076156824,0.92,1.140247262,1.140247262
32,0.235984633,0.117505779,0.20479133,0.320591311,0.065376937,0.91,1.048036914,1.048036914
33,0.201365915,0.101310964,0.212148307,0.312017167,0.055197902,0.9,1.011974802,1.011974802
34,0.140001771,0.068606093,0.237800901,0.300155304,0.030020189,0.87,0.946920726,0.946920726
35,0.162463474,0.087266697,0.150570667,0.326775578,0.038878604,0.85,0.920579462,0.920579462
36,0.139577867,0.069409377,0.088084194,0.268392439,0.026934012,0.8,0.80145289,0.80145289
37,0.156283107,0.077528879,0.045849802,0.395696091,0.033684673,0.81,0.863569452,0.863569452
38,0.214809946,0.098242649,0.047375351,0.308051574,0.049636052,0.81,0.867450537,0.867450537
39,0.392556696,0.148834085,0.048261039,0.42435904,0.065251372,0.87,1.100977082,1.100977082
40,0.305649588,0.122986298,0.127186827,0.39255248,0.053585993,0.89,1.074362233,1.074362233
